Substation,Longitude,Latitude,Operator
"{""geometry"": {""coordinates"": [[12.442144, 41.834862], [12.442423, 41.835038], [12.442624, 41.835003], [12.442571, 41.834787], [12.443324, 41.834676], [12.443263, 41.83446], [12.443469, 41.834225], [12.443591, 41.834198], [12.443501, 41.833859], [12.443314, 41.833801], [12.441767, 41.833832], [12.44177, 41.83387], [12.441779, 41.833937], [12.441676, 41.833954], [12.441966, 41.834894], [12.442144, 41.834862]], ""type"": ""LineString""}, ""id"": 36128051, ""properties"": {""alt_name"": ""Magliana/F"", ""designation"": ""Sottostazione Elettrica della Magliana 1"", ""frequency"": ""50"", ""location"": ""outdoor"", ""name"": ""Acea Magliana"", ""operator"": ""Acea Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""RROMMGLR"", ""substation"": ""distribution"", ""voltage"": ""150000""}, ""type"": ""Feature""}","[12.442144, 41.834862]","[12.442423, 41.835038]",Acea Distribuzione
"{""geometry"": {""coordinates"": [[13.769201, 45.666035], [13.769169, 45.66599], [13.768964, 45.66606], [13.768995, 45.666105], [13.769201, 45.666035]], ""type"": ""LineString""}, ""id"": 36439600, ""properties"": {""building"": ""yes"", ""height"": ""6 m"", ""it:fvg:ctrn:code"": ""4AEL"", ""it:fvg:ctrn:revision"": ""1A0"", ""location"": ""indoor"", ""name"": ""Valmartinaga"", ""operator"": ""Acegas Aps"", ""power"": ""substation"", ""ref:terna"": ""VVENVMGV"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[13.769201, 45.666035]","[13.769169, 45.66599]",Acegas Aps
"{""geometry"": {""coordinates"": [[13.779384, 45.639547], [13.779675, 45.639587], [13.779915, 45.638721], [13.779624, 45.638682], [13.779384, 45.639547]], ""type"": ""LineString""}, ""id"": 36688268, ""properties"": {""building"": ""industrial"", ""height"": ""15 m"", ""it:fvg:ctrn:code"": ""4AIN"", ""it:fvg:ctrn:revision"": ""1AN"", ""location"": ""indoor"", ""man_made"": ""works"", ""name"": ""Broletto palazzina \""E\"""", ""operator"": ""Acegas Aps"", ""power"": ""substation"", ""ref:terna"": ""VVENBROV"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[13.779384, 45.639547]","[13.779675, 45.639587]",Acegas Aps
"{""geometry"": {""coordinates"": [[11.118443, 46.04364], [11.118381, 46.0436], [11.118349, 46.043581], [11.118327, 46.043564], [11.118317, 46.043553], [11.118306, 46.043537], [11.1183, 46.04352], [11.118297, 46.043507], [11.118296, 46.043492], [11.118299, 46.043477], [11.118304, 46.04346], [11.118313, 46.043444], [11.118327, 46.043425], [11.118348, 46.043407], [11.118897, 46.042905], [11.118934, 46.042872], [11.118975, 46.042834], [11.119032, 46.042782], [11.119106, 46.04277], [11.120489, 46.043522], [11.120749, 46.043663], [11.120033, 46.044344], [11.11959, 46.044771], [11.118534, 46.044747], [11.118532, 46.044693], [11.118531, 46.044646], [11.118529, 46.044596], [11.118526, 46.044518], [11.118541, 46.044503], [11.118558, 46.044486], [11.11853, 46.044471], [11.118515, 46.04403], [11.118504, 46.043943], [11.118496, 46.043888], [11.118479, 46.043826], [11.118455, 46.043773], [11.1185, 46.043738], [11.118542, 46.043706], [11.118443, 46.04364]], ""type"": ""LineString""}, ""id"": 36812496, ""properties"": {""name"": ""Trento Sud"", ""operator"": ""Dolomiti Energia"", ""operator:wikidata"": ""Q3712703"", ""power"": ""substation"", ""ref:terna"": ""VVENTNSVT1_2;VVENTNSVT3_2"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[11.118443, 46.04364]","[11.118381, 46.0436]",Dolomiti Energia
"{""geometry"": {""coordinates"": [[15.33398, 41.491902], [15.335165, 41.491881], [15.335197, 41.493043], [15.334616, 41.493053], [15.334614, 41.492922], [15.334062, 41.492932], [15.334061, 41.492817], [15.334, 41.492818], [15.33398, 41.491902]], ""type"": ""LineString""}, ""id"": 37097228, ""properties"": {""name"": ""Lucera"", ""operator"": ""Enel Distribuzione"", ""operator:wikidata"": ""Q3725215"", ""power"": ""substation"", ""ref:terna"": ""NNAPLUCN"", ""substation"": ""distribution"", ""voltage"": ""150000""}, ""type"": ""Feature""}","[15.33398, 41.491902]","[15.335165, 41.491881]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[12.637836, 41.458604], [12.637, 41.458481], [12.637141, 41.458071], [12.637218, 41.458025], [12.637928, 41.458142], [12.637836, 41.458604]], ""type"": ""LineString""}, ""id"": 37725547, ""properties"": {""name"": ""Anzio"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""RROMANZR"", ""substation"": ""distribution"", ""voltage"": ""150000""}, ""type"": ""Feature""}","[12.637836, 41.458604]","[12.637, 41.458481]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[12.503786, 41.85159], [12.504929, 41.851866], [12.50473, 41.852209], [12.504635, 41.852183], [12.50444, 41.852129], [12.504388, 41.852114], [12.504272, 41.852145], [12.50402, 41.852075], [12.504027, 41.852057], [12.503606, 41.851945], [12.503669, 41.851816], [12.503786, 41.85159]], ""type"": ""LineString""}, ""id"": 38617751, ""properties"": {""addr:city"": ""Roma"", ""addr:housenumber"": ""20"", ""addr:postcode"": ""00147"", ""addr:street"": ""Via Filippo Zaniberti"", ""alt_name"": ""Cabina Primaria Ardeatino"", ""barrier"": ""fence"", ""name"": ""Acea Ardeatino"", ""operator"": ""Acea Distribuzione"", ""operator:wikidata"": ""Q3604235"", ""power"": ""substation"", ""ref:terna"": ""RROMAADR"", ""substation"": ""distribution"", ""voltage"": ""150000""}, ""type"": ""Feature""}","[12.503786, 41.85159]","[12.504929, 41.851866]",Acea Distribuzione
"{""geometry"": {""coordinates"": [[14.129083, 42.507208], [14.129256, 42.506881], [14.128766, 42.506455], [14.128075, 42.506884], [14.128694, 42.507448], [14.129083, 42.507208]], ""type"": ""LineString""}, ""id"": 39539312, ""properties"": {""name"": ""Montesilvano"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""RROMMTSR"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[14.129083, 42.507208]","[14.129256, 42.506881]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[11.068356, 43.883318], [11.069624, 43.882794], [11.06986, 43.883108], [11.069803, 43.88313], [11.069908, 43.883257], [11.068951, 43.883643], [11.068858, 43.883522], [11.068618, 43.883612], [11.068356, 43.883318]], ""type"": ""LineString""}, ""id"": 40634286, ""properties"": {""name"": ""San Paolo"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""FFIRSPLF"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[11.068356, 43.883318]","[11.069624, 43.882794]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[11.099775, 43.864476], [11.099862, 43.864439], [11.099947, 43.864272], [11.100706, 43.863916], [11.100925, 43.863942], [11.101049, 43.863877], [11.101841, 43.864757], [11.101814, 43.865115], [11.100953, 43.865515], [11.100768, 43.865601], [11.099775, 43.864476]], ""type"": ""LineString""}, ""id"": 40634287, ""properties"": {""name"": ""Prato Autostrada"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""FFIRPRTF"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[11.099775, 43.864476]","[11.099862, 43.864439]",Enel Distribuzione
