Substation,Longitude,Latitude,Operator
"{""geometry"": {""coordinates"": [[10.770363, 43.727277], [10.770426, 43.727225], [10.770538, 43.727121], [10.771698, 43.727539], [10.771097, 43.728312], [10.770531, 43.728105], [10.770295, 43.728386], [10.769519, 43.728116], [10.770124, 43.727491], [10.770333, 43.727314], [10.770363, 43.727277]], ""type"": ""LineString""}, ""id"": 82083660, ""properties"": {""name"": ""Santa Croce"", ""operator"": ""Enel Distribuzione"", ""operator:wikidata"": ""Q3725215"", ""power"": ""substation"", ""ref:terna"": ""FFIRSNCF"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[10.770363, 43.727277]","[10.770426, 43.727225]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[11.586283, 44.879911], [11.585161, 44.878414], [11.585525, 44.878256], [11.586697, 44.877769], [11.587788, 44.879359], [11.586283, 44.879911]], ""type"": ""LineString""}, ""id"": 82084013, ""properties"": {""name"": ""Ferrara Nord"", ""operator"": ""Terna"", ""power"": ""substation"", ""ref:terna:codice"": ""35.412"", ""substation"": ""distribution"", ""voltage"": ""380000""}, ""type"": ""Feature""}","[11.586283, 44.879911]","[11.585161, 44.878414]",Terna
"{""geometry"": {""coordinates"": [[11.125591, 44.993605], [11.125525, 44.992377], [11.12707, 44.992334], [11.127356, 44.992777], [11.126982, 44.993007], [11.125591, 44.993605]], ""type"": ""LineString""}, ""id"": 82202061, ""properties"": {""name"": ""Villa Poma"", ""operator"": ""Enel Distribuzione"", ""operator:wikidata"": ""Q3725215"", ""power"": ""substation"", ""ref:terna"": ""MMILVPOM"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[11.125591, 44.993605]","[11.125525, 44.992377]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[11.080052, 44.873905], [11.081547, 44.873012], [11.082015, 44.873405], [11.081942, 44.873453], [11.082102, 44.873593], [11.082167, 44.87356], [11.082369, 44.873748], [11.080953, 44.874528], [11.080733, 44.874535], [11.080052, 44.873905]], ""type"": ""LineString""}, ""id"": 82202081, ""properties"": {""name"": ""Mirandola"", ""operator"": ""Enel Distribuzione"", ""operator:wikidata"": ""Q3725215"", ""power"": ""substation"", ""ref:terna"": ""FFIRMIRF"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[11.080052, 44.873905]","[11.081547, 44.873012]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[11.715487, 45.70687], [11.716276, 45.706696], [11.715885, 45.705542], [11.715706, 45.705592], [11.715099, 45.705831], [11.715487, 45.70687]], ""type"": ""LineString""}, ""id"": 82741269, ""properties"": {""name"": ""Cartigliano"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""VVENCRTV"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[11.715487, 45.70687]","[11.716276, 45.706696]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[11.598698, 45.623364], [11.600288, 45.623104], [11.599965, 45.622164], [11.598816, 45.622387], [11.59865, 45.62257], [11.598585, 45.622686], [11.598563, 45.622778], [11.598594, 45.622906], [11.598698, 45.623364]], ""type"": ""LineString""}, ""id"": 82741271, ""properties"": {""name"": ""Sandrigo CP"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""VVENSGOV"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[11.598698, 45.623364]","[11.600288, 45.623104]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[11.817808, 42.086504], [11.818447, 42.084968], [11.819163, 42.085126], [11.818648, 42.086343], [11.817808, 42.086504]], ""type"": ""LineString""}, ""id"": 82857193, ""properties"": {""name"": ""Civitavecchia 2"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""RROMCIVR"", ""substation"": ""distribution"", ""voltage"": ""150000""}, ""type"": ""Feature""}","[11.817808, 42.086504]","[11.818447, 42.084968]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[14.839167, 41.131147], [14.839157, 41.129805], [14.840206, 41.129961], [14.840157, 41.131135], [14.839167, 41.131147]], ""type"": ""LineString""}, ""id"": 83059603, ""properties"": {""barrier"": ""wall"", ""name"": ""Benevento industriale"", ""operator"": ""Enel Distribuzione"", ""operator:wikidata"": ""Q3725215"", ""power"": ""substation"", ""ref:terna"": ""NNAPBNIN"", ""substation"": ""distribution"", ""voltage"": ""150000;20000""}, ""type"": ""Feature""}","[14.839167, 41.131147]","[14.839157, 41.129805]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[14.765972, 41.156941], [14.765451, 41.154962], [14.767371, 41.15468], [14.767463, 41.154927], [14.767417, 41.154958], [14.767423, 41.154976], [14.767429, 41.154994], [14.76749, 41.155009], [14.767601, 41.15534], [14.767691, 41.155658], [14.767713, 41.155829], [14.767701, 41.155856], [14.767668, 41.155882], [14.767625, 41.155896], [14.767563, 41.155903], [14.767566, 41.155934], [14.767567, 41.155963], [14.767637, 41.15596], [14.767691, 41.155975], [14.767719, 41.156], [14.767727, 41.156095], [14.76775, 41.156143], [14.767616, 41.156252], [14.767544, 41.156404], [14.767628, 41.156684], [14.765972, 41.156941]], ""type"": ""LineString""}, ""id"": 83060295, ""properties"": {""alt_name"": ""Benevento Nord"", ""barrier"": ""wall"", ""name"": ""Benevento Nord"", ""operator"": ""E-Distribuzione S.p.A."", ""operator:wikidata"": ""Q3725215"", ""operator:wikipedia"": ""it:E-distribuzione"", ""power"": ""substation"", ""ref:terna"": ""NNAPBENN"", ""substation"": ""distribution"", ""voltage"": ""150000;60000;20000""}, ""type"": ""Feature""}","[14.765972, 41.156941]","[14.765451, 41.154962]",E-Distribuzione S.p.A.
"{""geometry"": {""coordinates"": [[12.792092, 41.520271], [12.7928, 41.519953], [12.793287, 41.52056], [12.792579, 41.520879], [12.792092, 41.520271]], ""type"": ""LineString""}, ""id"": 83232225, ""properties"": {""name"": ""Le Ferriere"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""RROMLEFR"", ""substation"": ""distribution"", ""voltage"": ""150000""}, ""type"": ""Feature""}","[12.792092, 41.520271]","[12.7928, 41.519953]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[12.645605, 41.58252], [12.646047, 41.581492], [12.646444, 41.581587], [12.646276, 41.581977], [12.647174, 41.582193], [12.6469, 41.582831], [12.645605, 41.58252]], ""type"": ""LineString""}, ""id"": 83232359, ""properties"": {""name"": ""Aprilia"", ""operator"": ""Enel Distribuzione"", ""operator:wikidata"": ""Q3725215"", ""power"": ""substation"", ""ref:terna"": ""RROMAPRR"", ""substation"": ""distribution"", ""voltage"": ""150000""}, ""type"": ""Feature""}","[12.645605, 41.58252]","[12.646047, 41.581492]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[12.482441, 41.639866], [12.482355, 41.639339], [12.481303, 41.639436], [12.48139, 41.639963], [12.482441, 41.639866]], ""type"": ""LineString""}, ""id"": 83233396, ""properties"": {""frequency"": ""50"", ""location"": ""outdoor"", ""name"": ""Santa Rita"", ""operator"": ""Enel Distribuzione"", ""operator:wikidata"": ""Q3725215"", ""power"": ""substation"", ""ref:terna"": ""RROMSRIR"", ""substation"": ""distribution"", ""voltage"": ""150000""}, ""type"": ""Feature""}","[12.482441, 41.639866]","[12.482355, 41.639339]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[14.108475, 41.508972], [14.107899, 41.508496], [14.108566, 41.507779], [14.109432, 41.508282], [14.108475, 41.508972]], ""type"": ""LineString""}, ""id"": 83245283, ""properties"": {""name"": ""Pozzilli"", ""operator"": ""Enel Distribuzione"", ""operator:wikidata"": ""Q3725215"", ""power"": ""substation"", ""ref:terna"": ""RROMPOZR"", ""substation"": ""distribution"", ""voltage"": ""150000""}, ""type"": ""Feature""}","[14.108475, 41.508972]","[14.107899, 41.508496]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[8.728933, 45.263351], [8.729941, 45.263704], [8.73035, 45.262992], [8.729881, 45.262855], [8.730243, 45.262384], [8.729752, 45.26222], [8.728933, 45.263351]], ""type"": ""LineString""}, ""id"": 83392017, ""properties"": {""name"": ""Mortara"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""MMILMORM"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[8.728933, 45.263351]","[8.729941, 45.263704]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[12.453621, 41.719796], [12.453211, 41.71944], [12.453893, 41.719002], [12.454303, 41.719358], [12.453621, 41.719796]], ""type"": ""LineString""}, ""id"": 83422306, ""properties"": {""name"": ""Castel Romano"", ""operator"": ""Acea"", ""power"": ""substation"", ""substation"": ""distribution"", ""voltage"": ""150000""}, ""type"": ""Feature""}","[12.453621, 41.719796]","[12.453211, 41.71944]",Acea
"{""geometry"": {""coordinates"": [[12.567813, 41.903621], [12.568448, 41.902476], [12.568548, 41.90224], [12.567167, 41.901967], [12.566642, 41.903364], [12.567813, 41.903621]], ""type"": ""LineString""}, ""id"": 83422616, ""properties"": {""frequency"": ""50"", ""location"": ""outdoor"", ""name"": ""Acea Collatino"", ""operator"": ""Acea Distribuzione"", ""operator:wikidata"": ""Q3604235"", ""power"": ""substation"", ""ref:terna"": ""RROMACOR"", ""substation"": ""distribution"", ""voltage"": ""150000""}, ""type"": ""Feature""}","[12.567813, 41.903621]","[12.568448, 41.902476]",Acea Distribuzione
"{""geometry"": {""coordinates"": [[9.35605, 45.58838], [9.355684, 45.587465], [9.354954, 45.587608], [9.355321, 45.588523], [9.35567, 45.588454], [9.35605, 45.58838]], ""type"": ""LineString""}, ""id"": 83432416, ""properties"": {""name"": ""Agrate CP"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""MMILAGRM"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[9.35605, 45.58838]","[9.355684, 45.587465]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[9.381649, 45.568625], [9.381475, 45.568432], [9.381684, 45.567954], [9.381739, 45.567936], [9.381765, 45.567874], [9.381786, 45.567822], [9.381755, 45.567785], [9.381786, 45.567712], [9.382856, 45.567955], [9.382496, 45.568739], [9.381649, 45.568625]], ""type"": ""LineString""}, ""id"": 83432428, ""properties"": {""barrier"": ""wall"", ""name"": ""Caponago"", ""operator"": ""Enel Distribuzione"", ""operator:wikidata"": ""Q3725215"", ""operator:wikipedia"": ""it:E-distribuzione"", ""power"": ""substation"", ""ref:terna"": ""MMILCAPM"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[9.381649, 45.568625]","[9.381475, 45.568432]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[12.771947, 41.670549], [12.771904, 41.670443], [12.771781, 41.670139], [12.772115, 41.669761], [12.772596, 41.669724], [12.772753, 41.670599], [12.772424, 41.670564], [12.772406, 41.670654], [12.772106, 41.670645], [12.772018, 41.670603], [12.771947, 41.670549]], ""type"": ""LineString""}, ""id"": 83657380, ""properties"": {""frequency"": ""50"", ""location"": ""outdoor"", ""name"": ""Velletri"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""RROMVELR"", ""substation"": ""distribution"", ""voltage"": ""150000""}, ""type"": ""Feature""}","[12.771947, 41.670549]","[12.771904, 41.670443]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[13.771918, 41.25208], [13.77174, 41.252198], [13.771475, 41.252355], [13.771194, 41.252517], [13.770255, 41.252167], [13.770646, 41.251794], [13.770771, 41.251684], [13.771133, 41.251445], [13.771918, 41.25208]], ""type"": ""LineString""}, ""id"": 83872294, ""properties"": {""name"": ""Minturno"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""RROMMINR"", ""substation"": ""distribution"", ""voltage"": ""150000""}, ""type"": ""Feature""}","[13.771918, 41.25208]","[13.77174, 41.252198]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[13.903621, 42.078743], [13.903866, 42.078429], [13.90415, 42.078063], [13.904982, 42.078415], [13.904443, 42.079099], [13.903621, 42.078743]], ""type"": ""LineString""}, ""id"": 83916219, ""properties"": {""name"": ""Sulmona N.I."", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""RROMSUWR"", ""substation"": ""distribution"", ""voltage"": ""150000""}, ""type"": ""Feature""}","[13.903621, 42.078743]","[13.903866, 42.078429]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[12.99782, 41.741822], [12.996556, 41.74176], [12.996607, 41.741123], [12.997001, 41.741011], [12.997011, 41.740987], [12.997067, 41.74086], [12.997894, 41.740882], [12.99782, 41.741822]], ""type"": ""LineString""}, ""id"": 84073159, ""properties"": {""name"": ""Colleferro"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""RROMCLFR"", ""substation"": ""distribution"", ""voltage"": ""150000""}, ""type"": ""Feature""}","[12.99782, 41.741822]","[12.996556, 41.74176]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[13.123788, 41.736712], [13.123327, 41.736918], [13.122688, 41.736592], [13.12272, 41.736561], [13.122224, 41.736308], [13.122279, 41.736242], [13.121952, 41.736097], [13.122541, 41.735472], [13.123788, 41.736712]], ""type"": ""LineString""}, ""id"": 84073166, ""properties"": {""frequency"": ""50"", ""location"": ""outdoor"", ""name"": ""Anagni"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""RROMANAR"", ""substation"": ""distribution"", ""voltage"": ""150000""}, ""type"": ""Feature""}","[13.123788, 41.736712]","[13.123327, 41.736918]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[13.086223, 41.7332], [13.086237, 41.732685], [13.087188, 41.732695], [13.087177, 41.732958], [13.087113, 41.733094], [13.087113, 41.733208], [13.086223, 41.7332]], ""type"": ""LineString""}, ""id"": 84073318, ""properties"": {""frequency"": ""50"", ""location"": ""outdoor"", ""name"": ""Castellaccio"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""RROMCLLR"", ""substation"": ""distribution"", ""voltage"": ""150000""}, ""type"": ""Feature""}","[13.086223, 41.7332]","[13.086237, 41.732685]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[12.87299, 41.822855], [12.873385, 41.823299], [12.872939, 41.823847], [12.872835, 41.82381], [12.872273, 41.823196], [12.87299, 41.822855]], ""type"": ""LineString""}, ""id"": 84227500, ""properties"": {""frequency"": ""50"", ""location"": ""outdoor"", ""name"": ""Palestrina"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""RROMPALR"", ""substation"": ""distribution"", ""voltage"": ""150000""}, ""type"": ""Feature""}","[12.87299, 41.822855]","[12.873385, 41.823299]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[15.892432, 41.250854], [15.893854, 41.250899], [15.893826, 41.250235], [15.892654, 41.250191], [15.892651, 41.250255], [15.892455, 41.250245], [15.892432, 41.250854]], ""type"": ""LineString""}, ""id"": 84318355, ""properties"": {""name"": ""Cerignola"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""NNAPCERN"", ""substation"": ""distribution"", ""voltage"": ""150000""}, ""type"": ""Feature""}","[15.892432, 41.250854]","[15.893854, 41.250899]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[14.073272, 41.445361], [14.072724, 41.445111], [14.073345, 41.444349], [14.073893, 41.4446], [14.073272, 41.445361]], ""type"": ""LineString""}, ""id"": 84834948, ""properties"": {""name"": ""Sesto Campano"", ""operator"": ""Enel Distribuzione"", ""operator:wikidata"": ""Q3725215"", ""power"": ""substation"", ""ref:terna"": ""RROMSESR"", ""substation"": ""distribution"", ""voltage"": ""150000""}, ""type"": ""Feature""}","[14.073272, 41.445361]","[14.072724, 41.445111]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[12.240844, 42.053548], [12.241252, 42.053308], [12.241586, 42.05362], [12.241178, 42.05386], [12.240844, 42.053548]], ""type"": ""LineString""}, ""id"": 84954787, ""properties"": {""barrier"": ""fence"", ""name"": ""Crocicchie CP"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""RROMCRCR"", ""substation"": ""distribution"", ""voltage"": ""150000""}, ""type"": ""Feature""}","[12.240844, 42.053548]","[12.241252, 42.053308]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[12.453266, 42.00858], [12.452589, 42.008707], [12.453063, 42.010098], [12.456125, 42.009522], [12.455938, 42.008973], [12.456273, 42.008903], [12.456495, 42.008821], [12.456222, 42.008032], [12.453266, 42.00858]], ""type"": ""LineString""}, ""id"": 84963374, ""properties"": {""name"": ""Acea Flaminia"", ""operator"": ""Acea Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""RROMAFLR"", ""substation"": ""distribution"", ""voltage"": ""220000""}, ""type"": ""Feature""}","[12.453266, 42.00858]","[12.452589, 42.008707]",Acea Distribuzione
"{""geometry"": {""coordinates"": [[11.789666, 45.287494], [11.79008, 45.287174], [11.790401, 45.287124], [11.789349, 45.286505], [11.789039, 45.287097], [11.789666, 45.287494]], ""type"": ""LineString""}, ""id"": 84988283, ""properties"": {""name"": ""Battaglia Vecchia"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""VVENBTVV"", ""source"": ""Regione_del_Veneto_LR28_16.7.1976_Formazione_CTR_auth_39164-5700-1100_23.01.2009"", ""substation"": ""distribution"", ""voltage"": ""50000""}, ""type"": ""Feature""}","[11.789666, 45.287494]","[11.79008, 45.287174]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[14.16292, 42.416626], [14.163396, 42.417143], [14.164206, 42.416741], [14.16382, 42.416324], [14.163744, 42.416247], [14.16292, 42.416626]], ""type"": ""LineString""}, ""id"": 85082780, ""properties"": {""barrier"": ""fence"", ""lit"": ""yes"", ""name"": ""San Giovanni Teatino"", ""operator"": ""Enel Distribuzione"", ""operator:wikidata"": ""Q3725215"", ""operator:wikipedia"": ""it:E-distribuzione"", ""power"": ""substation"", ""ref:terna"": ""RROMSGNR"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[14.16292, 42.416626]","[14.163396, 42.417143]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[14.503849, 40.715554], [14.503832, 40.715542], [14.503855, 40.715522], [14.504088, 40.714983], [14.50413, 40.714897], [14.504186, 40.714822], [14.504253, 40.714761], [14.504344, 40.714555], [14.504386, 40.714476], [14.504622, 40.71439], [14.506154, 40.714764], [14.506198, 40.714785], [14.506216, 40.71481], [14.506047, 40.715407], [14.506032, 40.715468], [14.506033, 40.715521], [14.506047, 40.715569], [14.506067, 40.715613], [14.506086, 40.715658], [14.506115, 40.715709], [14.506154, 40.71576], [14.506201, 40.715813], [14.506242, 40.715847], [14.50631, 40.715889], [14.506389, 40.715929], [14.506455, 40.715958], [14.506548, 40.715987], [14.506453, 40.716043], [14.505717, 40.715937], [14.50504, 40.715841], [14.503849, 40.715554]], ""type"": ""LineString""}, ""id"": 85297730, ""properties"": {""name"": ""Gragnano"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""NNAPGRAN"", ""substation"": ""distribution"", ""voltage"": ""220000""}, ""type"": ""Feature""}","[14.503849, 40.715554]","[14.503832, 40.715542]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[8.654206, 44.403371], [8.655256, 44.402885], [8.655277, 44.402903], [8.655307, 44.402927], [8.655283, 44.402941], [8.655459, 44.403453], [8.654991, 44.403664], [8.654686, 44.403608], [8.654633, 44.403628], [8.654548, 44.403577], [8.65455, 44.403546], [8.654206, 44.403371]], ""type"": ""LineString""}, ""id"": 85300626, ""properties"": {""name"": ""Cogoleto"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""TTORCGTT"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[8.654206, 44.403371]","[8.655256, 44.402885]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[12.640424, 43.991292], [12.639644, 43.991266], [12.638557, 43.991362], [12.638154, 43.991397], [12.638211, 43.989674], [12.640454, 43.989677], [12.640424, 43.991292]], ""type"": ""LineString""}, ""id"": 85306108, ""properties"": {""name"": ""Riccione"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""FFIRRICF"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[12.640424, 43.991292]","[12.639644, 43.991266]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[10.826904, 42.805499], [10.82822, 42.805631], [10.828398, 42.804757], [10.827146, 42.80444], [10.827136, 42.804485], [10.826904, 42.805499]], ""type"": ""LineString""}, ""id"": 85694493, ""properties"": {""barrier"": ""fence"", ""name"": ""Castiglione Pescaia"", ""operator"": ""Enel Distribuzione"", ""operator:wikidata"": ""Q3725215"", ""power"": ""substation"", ""ref:terna"": ""FFIRCPEF"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[10.826904, 42.805499]","[10.82822, 42.805631]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[11.546993, 45.28049], [11.548372, 45.280901], [11.548782, 45.280915], [11.548821, 45.280853], [11.54897, 45.280612], [11.549083, 45.280431], [11.547354, 45.279897], [11.546993, 45.28049]], ""type"": ""LineString""}, ""id"": 88728342, ""properties"": {""name"": ""Noventa Vicentina"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""VVENNVNV"", ""source"": ""Regione_del_Veneto_LR28_16.7.1976_Formazione_CTR_auth_39164-5700-1100_23.01.2009"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[11.546993, 45.28049]","[11.548372, 45.280901]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[12.682465, 37.653989], [12.682642, 37.653922], [12.682968, 37.653829], [12.683011, 37.653765], [12.683072, 37.65375], [12.683682, 37.653582], [12.683567, 37.653307], [12.682972, 37.653486], [12.68288, 37.65328], [12.682744, 37.653029], [12.681784, 37.653295], [12.681864, 37.653373], [12.682074, 37.653577], [12.681935, 37.65361], [12.681974, 37.653694], [12.681827, 37.653738], [12.681886, 37.653897], [12.681905, 37.653936], [12.682315, 37.653828], [12.682465, 37.653989]], ""type"": ""LineString""}, ""id"": 89754248, ""properties"": {""name"": ""Mazara"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""PPALMAZP"", ""substation"": ""distribution"", ""voltage"": ""150000""}, ""type"": ""Feature""}","[12.682465, 37.653989]","[12.682642, 37.653922]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[8.658173, 45.524843], [8.658185, 45.523932], [8.657139, 45.523806], [8.657139, 45.524831], [8.658173, 45.524843]], ""type"": ""LineString""}, ""id"": 90947209, ""properties"": {""name"": ""Cameri"", ""operator"": ""Enel Distribuzione"", ""operator:wikidata"": ""Q3725215"", ""operator:wikipedia"": ""it:E-distribuzione"", ""power"": ""substation"", ""ref:terna"": ""TTORCAET"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[8.658173, 45.524843]","[8.658185, 45.523932]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[11.011101, 45.768971], [11.012072, 45.768631], [11.011781, 45.768226], [11.011097, 45.768465], [11.011113, 45.768487], [11.011186, 45.768588], [11.010973, 45.768663], [11.010898, 45.768689], [11.011101, 45.768971]], ""type"": ""LineString""}, ""id"": 91624554, ""properties"": {""name"": ""Maso Corona CP"", ""operator"": ""Set Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""VVENMCPV"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[11.011101, 45.768971]","[11.012072, 45.768631]",Set Distribuzione
"{""geometry"": {""coordinates"": [[13.268569, 41.624737], [13.269544, 41.623951], [13.270759, 41.624787], [13.270196, 41.625252], [13.269736, 41.625446], [13.268753, 41.62493], [13.268569, 41.624737]], ""type"": ""LineString""}, ""id"": 91851491, ""properties"": {""name"": ""Vallesacco"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""RROMVLSR"", ""substation"": ""distribution"", ""voltage"": ""150000""}, ""type"": ""Feature""}","[13.268569, 41.624737]","[13.269544, 41.623951]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[12.773441, 43.234264], [12.772187, 43.234059], [12.772546, 43.233588], [12.772711, 43.233646], [12.772812, 43.233513], [12.7729, 43.233514], [12.772926, 43.233533], [12.772996, 43.233538], [12.773508, 43.23356], [12.773505, 43.233601], [12.773608, 43.233606], [12.773441, 43.234264]], ""type"": ""LineString""}, ""id"": 91888944, ""properties"": {""name"": ""Gualdo Tadino"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""RROMGUAR"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[12.773441, 43.234264]","[12.772187, 43.234059]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[12.452248, 42.482051], [12.452434, 42.482124], [12.452644, 42.481826], [12.452123, 42.481605], [12.45184, 42.482024], [12.451636, 42.482299], [12.45198, 42.482429], [12.452139, 42.482196], [12.452182, 42.482192], [12.452248, 42.482051]], ""type"": ""LineString""}, ""id"": 93039416, ""properties"": {""name"": ""San Liberato"", ""operator"": ""Enel Distribuzione"", ""operator:wikidata"": ""Q3725215"", ""power"": ""substation"", ""ref:terna"": ""RROMSLIR"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[12.452248, 42.482051]","[12.452434, 42.482124]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[8.430148, 45.934955], [8.430283, 45.934236], [8.430361, 45.934246], [8.430924, 45.934285], [8.430998, 45.933872], [8.431668, 45.933946], [8.431774, 45.93458], [8.430642, 45.934933], [8.430588, 45.934894], [8.430513, 45.93494], [8.430435, 45.934967], [8.430356, 45.934976], [8.430255, 45.934974], [8.430148, 45.934955]], ""type"": ""LineString""}, ""id"": 93088082, ""properties"": {""name"": ""Gravellona"", ""operator"": ""Enel Distribuzione"", ""operator:wikidata"": ""Q3725215"", ""power"": ""substation"", ""ref:terna"": ""TTORGRVT"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[8.430148, 45.934955]","[8.430283, 45.934236]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[14.325069, 40.876617], [14.325152, 40.876499], [14.32465, 40.875666], [14.324567, 40.875651], [14.324528, 40.875596], [14.324127, 40.875743], [14.324027, 40.875583], [14.325615, 40.874989], [14.325715, 40.875177], [14.325642, 40.87528], [14.325672, 40.875325], [14.325819, 40.875353], [14.326221, 40.876047], [14.326348, 40.876209], [14.325588, 40.876453], [14.325124, 40.876674], [14.325069, 40.876617]], ""type"": ""LineString""}, ""id"": 93850768, ""properties"": {""name"": ""Castelluccia"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""NNAPCASNT1T;NNAPCASNT2;NNAPCASNT3T"", ""substation"": ""distribution"", ""voltage"": ""220000""}, ""type"": ""Feature""}","[14.325069, 40.876617]","[14.325152, 40.876499]",Enel Distribuzione
